                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.39367,                0.24265,                0.78883,                      1,                      1,                  0.995,                0.97975,                0.29242,                0.19076,                0.80471,               0.000317,               0.000317,               0.000317
                     87,                0.38532,                0.23919,                  0.793,                      1,                      1,                  0.995,                0.97975,                0.28879,                0.19107,                0.80162,              0.0002972,              0.0002972,              0.0002972
                     88,                0.39859,                0.23308,                0.78522,                      1,                      1,                  0.995,                0.97975,                0.26912,                0.18568,                 0.8001,              0.0002774,              0.0002774,              0.0002774
                     89,                0.42053,                0.24563,                0.78489,                      1,                      1,                  0.995,                0.97975,                 0.2524,                0.18761,                0.79969,              0.0002576,              0.0002576,              0.0002576
                     90,                0.39169,                0.23937,                0.79358,                      1,                      1,                  0.995,                0.97975,                0.24459,                0.18488,                 0.7978,              0.0002378,              0.0002378,              0.0002378
                     91,                0.39814,                0.24363,                0.79428,                      1,                      1,                  0.995,                0.97975,                0.24157,                0.18789,                0.79591,               0.000218,               0.000218,               0.000218
                     92,                  0.416,                0.25905,                0.77784,                      1,                      1,                  0.995,                0.97975,                0.22867,                0.19761,                0.79439,              0.0001982,              0.0001982,              0.0001982
                     93,                0.36957,                0.23293,                0.78115,                      1,                      1,                  0.995,                0.97975,                0.22546,                0.19504,                0.79467,              0.0001784,              0.0001784,              0.0001784
                     94,                0.40662,                0.24061,                0.78554,                      1,                      1,                  0.995,                 0.9645,                0.22663,                0.19435,                0.79563,              0.0001586,              0.0001586,              0.0001586
                     95,                0.38746,                0.23846,                 0.7706,                      1,                      1,                  0.995,                 0.9645,                0.23189,                0.20119,                0.79594,              0.0001388,              0.0001388,              0.0001388
                     96,                0.39164,                0.22477,                0.79469,                      1,                      1,                  0.995,                 0.9645,                0.23333,                0.19894,                0.79646,               0.000119,               0.000119,               0.000119
                     97,                0.38476,                0.22714,                0.81308,                      1,                      1,                  0.995,                0.97975,                0.23622,                0.19853,                0.79661,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.39285,                0.21724,                0.78639,                      1,                      1,                  0.995,                0.97975,                0.23602,                0.19594,                0.79624,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.38869,                0.23558,                 0.7638,                      1,                      1,                  0.995,                0.97975,                0.23406,                0.19553,                0.79617,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.38053,                0.21487,                 0.7921,                      1,                      1,                  0.995,                0.97975,                0.23376,                0.19121,                0.79611,               3.98e-05,               3.98e-05,               3.98e-05
